,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
370,Sawakin,2,SD,1581832966,87,19.11,37.33,75.63,12.77
371,Constitucion,0,CL,1581832967,79,-35.33,-72.42,52.07,3.67
372,Hortolandia,38,BR,1581832967,73,-22.86,-47.22,71.6,10.29
373,Kavieng,71,PG,1581832967,75,-2.57,150.8,83.75,10.74
374,Ust'-Kalmanka,98,RU,1581832967,88,52.12,83.31,20.75,4.47
375,Boguchany,100,RU,1581832967,88,58.38,97.45,18.1,3.09
376,Evensk,0,RU,1581832968,73,61.95,159.23,-10.07,13.71
377,San Luis,0,AR,1581832968,49,-33.3,-66.34,77.72,10.04
378,Marathon,1,US,1581832940,79,44.9,-89.77,26.6,10.29
379,Eastbourne,100,GB,1581832968,100,50.77,0.28,54.0,44.96
380,Solnechnyy,4,RU,1581832968,81,50.72,136.63,10.78,2.77
381,Torres,0,BR,1581832969,91,-29.34,-49.73,75.72,14.5
382,Amahai,0,ID,1581832969,67,-3.33,128.92,85.73,6.29
383,Caravelas,17,BR,1581832969,80,-17.71,-39.25,79.74,4.18
384,Alekseyevsk,96,RU,1581832969,93,57.84,108.35,14.49,4.63
385,Tuatapere,100,NZ,1581832970,79,-46.13,167.68,64.0,8.99
386,Namakkal,20,IN,1581832970,54,11.22,78.17,84.2,4.7
387,Salto,0,UY,1581832792,94,-31.38,-57.97,75.0,4.88
388,Mil'kovo,100,RU,1581832970,94,54.72,158.62,11.89,1.41
389,Belmonte,20,BR,1581832970,88,-15.86,-38.88,78.8,3.36
390,Hamada,75,JP,1581832971,93,34.88,132.08,51.8,12.75
391,Lorengau,50,PG,1581832971,78,-2.02,147.27,83.71,12.41
392,Bhadrachalam,0,IN,1581832971,27,17.67,80.88,94.42,2.55
393,Bubaque,6,GW,1581832971,68,11.28,-15.83,78.58,4.99
394,Kuytun,28,RU,1581832971,88,54.34,101.5,17.24,2.04
395,Warwick,75,US,1581832972,64,41.7,-71.42,36.0,12.75
396,Sistranda,75,NO,1581832972,65,63.73,8.83,46.4,11.41
397,Rafaela,0,AR,1581832972,76,-31.25,-61.49,73.99,1.01
398,Grand Gaube,40,MU,1581832972,65,-20.01,57.66,82.4,10.29
399,Baraya,74,CO,1581832973,74,3.15,-75.05,61.95,6.53
400,Rocha,0,UY,1581832973,92,-34.48,-54.33,68.38,5.84
401,Novoagansk,97,RU,1581832973,93,61.94,76.66,12.85,9.78
402,Ahipara,57,NZ,1581832973,98,-35.17,173.17,73.0,11.74
403,Maromitsa,100,RU,1581832974,92,59.87,48.01,24.24,10.07
404,Great Bend,1,US,1581832860,92,38.36,-98.76,33.01,3.36
405,Zhigansk,100,RU,1581832974,97,66.77,123.37,-9.17,18.61
406,Tessalit,91,ML,1581832974,12,20.2,1.01,64.29,12.84
407,Cua,61,VE,1581832975,83,10.16,-66.89,75.2,10.29
408,Bredasdorp,0,ZA,1581832975,93,-34.53,20.04,78.01,3.36
409,Katangli,100,RU,1581832975,88,51.71,143.23,9.39,7.54
410,Soyo,98,AO,1581832975,82,-6.13,12.37,80.53,6.4
411,Nuuk,100,GL,1581832975,85,64.18,-51.72,14.0,13.87
412,Honningsvag,71,NO,1581832976,81,70.98,25.97,24.4,11.88
413,Paraguacu Paulista,89,BR,1581832884,82,-22.41,-50.58,69.64,5.03
414,Kuminskiy,69,RU,1581832976,92,58.67,66.57,14.7,5.19
415,Fomboni,15,KM,1581832976,68,-12.28,43.74,85.23,9.62
416,Bure,24,ET,1581832977,35,10.7,37.07,76.1,1.68
417,San Nicolas,20,PH,1581832977,74,18.17,120.6,84.2,11.41
418,Deputatsky,100,RU,1581832977,78,69.3,139.9,-4.54,3.65
419,Terney,100,RU,1581832977,78,45.05,136.61,17.67,12.01
420,Teknaf,0,BD,1581832977,19,20.86,92.31,90.09,3.85
421,Akureyri,90,IS,1581832978,69,65.68,-18.09,37.4,27.51
422,Hobyo,87,SO,1581832978,61,5.35,48.53,80.96,19.82
423,Chiredzi,43,ZW,1581832978,82,-21.05,31.67,75.52,8.01
424,Bilibino,49,RU,1581832978,100,68.05,166.44,-35.41,2.17
425,Silver City,1,US,1581832978,64,32.77,-108.28,37.99,13.87
426,Morelia,20,MX,1581832693,62,19.7,-101.18,59.0,4.59
427,General Roca,0,AR,1581832979,52,-39.03,-67.58,69.8,1.12
428,Chifeng,70,CN,1581832956,47,42.27,118.96,16.34,23.11
429,Parakou,0,BJ,1581832979,10,9.34,2.63,65.23,3.74
430,Portland,90,US,1581832775,100,45.52,-122.68,46.0,3.36
431,Biak,50,ID,1581832980,67,-0.91,122.88,84.78,2.98
432,Mokhsogollokh,98,RU,1581832980,98,61.47,128.92,-7.19,3.22
433,Saint George,1,US,1581832909,36,37.1,-113.58,46.99,3.36
434,Hudson Bay,46,CA,1581832981,95,52.85,-102.38,-11.65,3.96
435,Sao Filipe,76,CV,1581832981,56,14.9,-24.5,74.1,13.69
436,Tamna,1,RO,1581832982,89,44.57,23.02,37.99,2.35
437,Yar-Sale,100,RU,1581832982,95,66.83,70.83,3.81,8.84
438,Necocli,87,CO,1581832982,82,8.42,-76.79,80.96,19.15
439,Berlevag,92,NO,1581832983,82,70.86,29.09,25.02,9.13
440,Tommot,36,RU,1581832983,88,58.96,126.29,8.91,2.46
441,Xam Nua,77,LA,1581832983,76,20.42,104.04,61.47,5.39
442,Talaya,100,RU,1581832983,99,61.38,152.75,-19.84,1.97
443,Mednogorsk,100,RU,1581832983,97,51.41,57.59,4.32,4.74
444,Moose Factory,90,CA,1581832983,85,51.26,-80.61,17.6,6.93
445,Laas,28,IT,1581832984,53,46.62,10.7,34.0,4.43
446,Juneau,75,US,1581832984,100,58.3,-134.42,33.8,13.71
447,Marsh Harbour,67,BS,1581832984,84,26.54,-77.06,73.18,21.34
448,Kiryat Gat,75,IL,1581832715,87,31.61,34.76,57.2,5.82
449,Fort Nelson,90,CA,1581832985,76,58.81,-122.7,-11.2,6.93
450,Mergen,0,CN,1581832985,79,49.18,125.22,9.07,13.04
451,Kano,0,NG,1581832985,35,12.0,8.52,57.2,4.7
452,Yeniseysk,100,RU,1581832985,89,58.45,92.17,19.36,2.08
453,Merauke,42,ID,1581832865,69,-8.47,140.33,87.98,9.37
454,Oriximina,24,BR,1581832986,90,-1.77,-55.87,75.85,1.83
455,Townsville,33,AU,1581832696,44,-19.25,146.8,95.0,9.17
456,Baiquan,0,CN,1581832986,83,47.58,126.08,5.34,14.83
457,Lucapa,91,AO,1581832987,93,-8.42,20.74,67.12,0.98
458,Santa Fe,0,AR,1581832987,89,-31.63,-60.7,80.01,1.99
459,Coos Bay,90,US,1581832987,93,43.37,-124.22,50.0,14.99
460,Saint Lawrence,20,MT,1581832987,87,36.06,14.2,51.8,5.82
461,Cabedelo,20,BR,1581832988,94,-6.98,-34.83,77.0,3.36
462,Carbonia,0,IT,1581832988,100,39.17,8.52,46.99,6.93
463,Departamento de Maldonado,0,UY,1581832706,83,-34.67,-54.92,69.8,6.93
464,Havelock,1,US,1581832880,74,34.88,-76.9,41.0,1.54
465,Nieuw Amsterdam,40,SR,1581832989,94,5.88,-55.08,77.0,9.46
466,Maunabo,90,PR,1581832989,94,18.01,-65.9,75.2,10.29
467,Bauchi,20,NG,1581832989,13,10.5,10.0,59.31,4.21
468,Malatya,75,TR,1581832989,92,38.5,38.0,24.8,3.53
469,Kulhudhuffushi,6,MV,1581832990,74,6.62,73.07,83.07,11.81
470,Nago,90,JP,1581832990,72,26.59,127.98,64.4,18.34
471,Araouane,68,ML,1581832990,13,18.9,-3.53,66.34,10.25
472,Ilulissat,98,GL,1581832990,78,69.22,-51.1,12.2,6.93
473,Goderich,100,CA,1581832991,85,43.75,-81.72,33.01,16.06
474,Itarema,39,BR,1581832991,95,-2.92,-39.92,73.63,2.01
475,Toamasina,75,MG,1581832991,94,-18.17,49.38,73.4,4.7
476,Nanortalik,99,GL,1581832992,91,60.14,-45.24,25.83,30.04
477,Yantal,80,RU,1581832992,86,56.85,105.25,17.04,2.93
478,Mayor Pablo Lagerenza,80,PY,1581832992,59,-19.93,-60.77,83.53,9.6
479,Vysokogornyy,23,RU,1581832993,80,50.12,139.15,11.21,1.19
480,Ngunguru,67,NZ,1581832993,85,-35.62,174.5,72.0,5.99
481,Nata,26,PA,1581832993,50,8.33,-80.52,75.99,10.0
482,Berdigestyakh,100,RU,1581832993,95,62.1,126.7,4.87,4.79
483,Duku,0,NG,1581832993,8,11.24,4.91,70.02,7.9
484,Guipavas,90,FR,1581832994,93,48.44,-4.4,57.2,41.38
485,Ulladulla,75,AU,1581832938,83,-35.35,150.47,71.6,14.99
486,Krasnosel'kup,88,RU,1581832994,94,65.7,82.47,7.92,8.59
487,Haines Junction,100,CA,1581832994,98,60.75,-137.51,-11.36,4.34
488,Rognan,100,NO,1581832994,51,67.1,15.39,39.2,39.15
489,Umm Lajj,31,SA,1581832994,65,25.02,37.27,74.05,13.85
490,Hambantota,20,LK,1581832995,70,6.12,81.12,87.8,16.11
491,Shelburne,90,CA,1581832995,74,44.08,-80.2,32.0,13.87
492,Wilayat-e Zabul,0,AF,1581832995,74,32.25,67.25,24.98,3.65
493,Guerrero Negro,100,MX,1581832995,73,27.98,-114.06,61.05,7.94
494,Nisia Floresta,20,BR,1581832996,88,-6.09,-35.21,77.0,6.93
495,Kant,0,IN,1581832996,47,27.8,79.8,70.14,2.17
496,Kangaatsiaq,100,GL,1581832996,87,68.31,-53.46,10.74,16.6
497,Wanning,92,CN,1581832996,71,18.8,110.4,64.72,14.07
498,Bayan,100,CN,1581832997,72,46.08,127.4,11.55,2.95
499,Pitimbu,20,BR,1581832997,94,-7.47,-34.81,77.0,3.36
500,Vanimo,1,PG,1581832997,79,-2.67,141.3,82.96,13.24
501,Deleni,0,RO,1581832997,100,47.47,26.88,34.0,5.82
502,Denpasar,20,ID,1581832991,79,-8.65,115.22,87.8,9.17
503,Glomfjord,100,NO,1581832998,51,66.82,13.97,39.2,39.15
504,Victor Harbor,40,AU,1581832998,53,-35.57,138.62,73.4,21.92
505,Mount Isa,0,AU,1581832998,14,-20.73,139.5,104.0,10.29
506,Tezu,27,IN,1581832999,39,27.92,96.17,77.45,4.43
507,Port-Gentil,20,GA,1581832999,94,-0.72,8.78,78.8,6.46
508,San Cristobal,40,VE,1581832999,61,7.77,-72.22,82.4,2.24
509,Longhua,87,CN,1581832999,68,23.61,114.19,53.87,7.49
510,Lingao,100,CN,1581833000,87,19.91,109.69,57.74,20.89
511,San Carlos,0,VE,1581833000,72,9.66,-68.58,74.39,1.14
512,Zeya,0,RU,1581833000,76,53.75,127.27,9.1,5.06
513,Yangi Marg`ilon,33,UZ,1581833000,44,40.43,71.72,39.2,4.7
514,Avanuorri,38,NO,1581833001,85,71.0,24.66,19.4,19.46
515,Zonguldak,75,TR,1581833001,93,41.25,31.83,46.4,4.7
516,Sumbe,100,AO,1581833001,87,-11.21,13.84,73.45,5.03
517,Andenes,51,NO,1581833001,61,69.31,16.12,32.0,20.8
518,Praia,100,CV,1581833001,50,14.92,-23.51,75.2,16.11
519,Leningradskiy,97,RU,1581833002,95,69.38,178.42,-19.43,8.97
520,Kananga,88,CD,1581833002,86,-5.9,22.42,72.91,3.98
521,Egvekinot,100,RU,1581833002,89,66.32,-179.17,-14.28,17.22
522,Mapimi,100,MX,1581833002,48,25.82,-103.85,63.0,2.08
523,Hit,78,IQ,1581833003,36,33.64,42.83,54.59,6.85
524,Dingle,36,PH,1581833003,67,11.0,122.67,84.56,11.32
525,Odienne,0,CI,1581833003,15,9.51,-7.57,59.85,0.6
526,Ati,17,TD,1581833003,15,13.22,18.34,66.45,7.36
527,Kalmunai,100,LK,1581833004,70,7.42,81.82,81.43,10.02
528,Kangaba,4,ML,1581833004,15,11.93,-8.42,67.05,5.12
529,Ambon,40,ID,1581832839,47,-3.7,128.18,98.6,4.7
530,Anito,30,PH,1581833004,80,12.45,125.29,80.69,11.52
531,Buchanan,75,LR,1581833005,100,5.88,-10.05,75.2,4.7
532,Bartow,1,US,1581833005,93,27.9,-81.84,66.2,5.82
533,Bloemfontein,1,ZA,1581833005,63,-29.12,26.21,66.2,9.17
534,Shubarkuduk,100,KZ,1581833005,91,49.14,56.49,13.78,3.85
535,Aras,47,ES,1581833005,71,42.56,-2.36,53.6,13.87
536,Pihuamo,7,MX,1581833006,59,19.25,-103.38,68.7,2.77
537,Yinchuan,0,CN,1581833006,7,38.47,106.27,37.0,1.01
538,Tazovsky,92,RU,1581833006,95,67.47,78.7,5.5,7.85
539,Taltal,37,CL,1581833006,93,-25.4,-70.48,60.78,2.71
540,Corralillo,0,CU,1581833007,80,22.98,-80.59,74.37,11.79
541,Matviyivka,0,UA,1581833007,78,47.07,35.14,31.46,7.34
542,Beitbridge,56,ZW,1581833007,73,-22.22,30.0,77.72,13.87
543,Pahlgam,100,IN,1581833007,49,34.03,75.33,24.82,4.9
544,Barcelona,75,ES,1581832968,87,41.39,2.16,55.4,17.22
545,College,1,US,1581833008,66,64.86,-147.8,-16.6,3.71
546,Philadelphia,1,US,1581832801,79,39.95,-75.16,30.0,4.7
547,Effingham County,40,US,1581833008,81,32.37,-81.33,55.0,6.4
548,Tiarei,75,PF,1581833008,74,-17.53,-149.33,80.6,8.05
549,Yerbogachen,61,RU,1581833009,91,61.28,108.01,10.6,8.88
